ven_NAME,ven_COUNTRY,ven_DESCRIPT
Leadtek,Taiwan,"Manufacturer of NVIDIA video cards, mainly for the professional segment."
Lenovo,China,One of the world's largest manufacturers of personal computers.
Lian Li,Taiwan,A premium manufacturer of aluminum PC cases.
Lite-On,Taiwan,Manufacturer of optical drives and power supplies.
MSI,Taiwan,One of the world's leading manufacturers of motherboards, video cards, and laptops.
Maplin,UK,A retail chain selling electronic components.
Micron Technology,USA,One of the world's largest manufacturers of memory chips (DRAM and NAND).
Mostek,USA,"A historic semiconductor manufacturer, acquired by STMicroelectronics."
Mushkin,USA,Manufacturer of high-performance RAM and SSDs.
NVIDIA,USA,Leading developer of graphics processing units (GPUs) and chips for AI.
Nanya Technology,Taiwan,Manufacturer of DRAM memory chips.
Netlist,USA,Manufacturer of high-density memory modules for servers.
Nidec,Japan,The world's largest manufacturer of electric motors, including for fans.
Noctua,Austria,A premium manufacturer of high-efficiency, low-noise cooling systems.
NZXT,USA,Manufacturer of PC cases, cooling systems, and accessories.
OCZ Technology,USA,"A former manufacturer of SSDs and memory, assets acquired by Toshiba."
PC Power and Cooling,USA,"A manufacturer of high-quality power supplies, owned by Antec."
PNY,USA,Manufacturer of video cards, memory, and SSDs.
Palit,Taiwan,The world's largest manufacturer of video cards by volume.
Pegatron,Taiwan,"An ODM manufacturer of electronics, spun off from Asus."
PowerColor,Taiwan,A manufacturer of video cards exclusively based on AMD GPUs.
Rambus,USA,A company that develops and licenses memory technologies.
Ramtron International,USA,"A developer of FRAM, acquired by Cypress Semiconductor."
Razer Inc.,USA/Singapore,Manufacturer of gaming peripherals, laptops, and accessories.
Renesas Technology,Japan,A major manufacturer of microcontrollers and semiconductors.
Rendition,USA,A historic manufacturer of 3D accelerators in the 90s.
SK Hynix,South Korea,The world's second-largest manufacturer of memory chips.
Samsung Semiconductor,South Korea,"A division of Samsung, the largest manufacturer of memory chips."
Sandisk,USA,"A manufacturer of flash memory, acquired by Western Digital."
Sapphire Technology,Hong Kong,The largest manufacturer of video cards exclusively based on AMD GPUs.
Sea Sonic,Taiwan,A highly respected manufacturer of PC power supplies.
Seasonic,Taiwan,A highly respected manufacturer of PC power supplies.
Seventeam,Taiwan,Manufacturer of power supplies.
Shuttle Inc.,Taiwan,Manufacturer of mini-PCs (barebones) and small form factor motherboards.
Silicon Power,Taiwan,Manufacturer of memory cards, USB drives, SSDs, and DRAM modules.
Simmtronics,India,Manufacturer of memory modules and other consumer electronics.
StarTech.com,Canada,Manufacturer of a wide range of IT and A/V cables and adapters.
Super Flower,Taiwan,"A manufacturer of power supplies, often acting as an OEM for other brands."
Supermicro,USA,Manufacturer of servers, server motherboards, and cases.
Tyan,Taiwan,"A manufacturer of server motherboards, owned by MiTAC."
Thermalright,Taiwan,Manufacturer of high-performance air cooling systems.
Thermaltake,Taiwan,Manufacturer of cases, power supplies, cooling systems, and peripherals.
Toshiba,Japan,"A large multinational corporation that also produces electronics."
Transcend,Taiwan,Manufacturer of memory modules, memory cards, SSDs, and industrial drives.
Trust,Netherlands,Manufacturer of affordable computer peripherals.
VIA Technologies,Taiwan,Developer of chipsets, processors, and other electronics.
Vigor Gaming,USA,"A former manufacturer of gaming PCs, ceased operations."
Virtium,USA,Manufacturer of industrial embedded SSDs and memory modules.
Winbond,Taiwan,Manufacturer of specialty memory chips (DRAM, Flash).
XFX,USA,"Manufacturer of video cards (formerly NVIDIA, now AMD) and power supplies."
Xilence,Germany/Taiwan,Manufacturer of power supplies, coolers, and cases.
Yeston,China,"A manufacturer of video cards and motherboards, known for its unique designs."
Zotac,Hong Kong,Manufacturer of NVIDIA video cards, mini-PCs, and SSDs.
